
Wikipedia: オペレーティングシステム,オペレーティングシステム（）、OS（オーエス）とは、コンピュータのオペレーション（操作・運用・運転）を司るシステムソフトウェアである。
Wikipedia: Gnutella,Gnutella（グヌーテラ、ニューテラ）はP2Pプロトコルおよびファイル共有クライアント。
Wikipedia: ゲームソフト,ゲームソフトは、コンピュータゲームのソフトウェア（コンピュータ・プログラム）である。コンピュータゲームのハードウェアであるコンピュータゲーム機に対し、1980年代なかばごろから、別に提供されるものが一般的となったため、そういった呼ばれ方をするようになった。
Wikipedia: ゲーム機,コンピュータゲーム機（コンピュータゲームき）とは、コンシューマーゲーム機、テレビゲーム機、携帯型ゲーム機、アーケードゲーム機などといった、コンピュータゲームを動作させるためのハードウェア機器の総称ゲーム白書2009に見る、ゲーム機市場の大転換期～急増するゲームコンテンツのダウンロード「ゲーム機が無くなる日」を示唆したゲーム白書、「50代のゲーム利用増加」を裏付けたCESA報告書である。
Wikipedia: メモリ管理,メモリ管理（メモリかんり）とは、コンピュータのメモリを管理するもの。単純化すれば、プログラム（プロセスなど）の要求に応じてメモリの一部を割り当てる方法と、そのメモリが不要となったときに再利用のために解放する方法を提供する。
Wikipedia: 共有メモリ,情報処理において共有メモリ（きょうゆうメモリ）とは、複数のプログラムが同時並行的にアクセスするメモリである。
Wikipedia: データベース,データベース（）とは、検索や蓄積が容易にできるよう整理された情報の集まり。
Wikipedia: ガベージコレクション,ガベージコレクションカナ表記には「ガベージ・コレクション」のほかに、「ガーベッジ・コレクション」や「ガーベジ・コレクション」などもある。（; GC）とは、プログラムが動的に確保したメモリ領域のうち、不要になった領域を自動的に解放する機能である。
Wikipedia: アルゴリズム,thumb|right|[[フローチャートはアルゴリズムの視覚的表現としてよく使われる。これはランプがつかない時のフローチャート。
Wikipedia: Classic Mac OS,Classic Mac OS（クラシック マック オーエス）、Mac OS（マック オーエス）、System（システム）は、アップルが開発・販売していたオペレーティングシステム。1984年、Macintoshと共に登場し、グラフィカルユーザインタフェースの普及に大きく貢献した。
Wikipedia: プロセス間通信,プロセス間通信（IPC、）はコンピュータの動作において、複数プロセス（の複数スレッド）間でデータをやりとりする仕組み。通信プロセスは、同一コンピュータ内で帰結するローカル、ネットワーク接続された別のコンピュータと相互にリモート、などのほかに多様な観点で分類され、スレッド間の通信帯域幅とレイテンシや扱うデータの種類も多種多様である。
Wikipedia: フレーム,フレーム、フレイム
Wikipedia: L4マイクロカーネルファミリー,L4マイクロカーネルファミリーは第二世代マイクロカーネルのファミリーで、一般的にはUnix系のオペレーティングシステムの実装に使われるが他の様々なシステムにも使われる。前身のL3マイクロカーネルと同じように、ドイツのコンピュータ科学者によってそれ以前のマイクロカーネルベースのオペレーティングシステムの性能の低さを解決する答えとしてL4は作られた。
Wikipedia: コンピュータ・アーキテクチャ,コンピュータ・アーキテクチャ（）は、コンピュータ（特にハードウェア）における基本設計や設計思想などを意味する。アーキテクチャ（建築）には、単に「建築物」以外に、設計や様式という意味があるが、それから転じて、コンピュータ分野においても使われるようになった。
Wikipedia: フリーソフトウェア,thumb|300px|最近の自由ソフトウェアのオペレーティングシステムの例。いくつかの代表的な自由ソフトウェアを実行している。
Wikipedia: プロトコル,"プロトコルまたはプロトコール（ , 、 ）とは、複数の者が対象となる事項を確実に実行するための手順について定めたもの。"
Wikipedia: Garnet OS,Garnet OS（ガーネットOS）は、ACCESS Systems（旧PalmSource）が開発・ライセンス提供するPDA用オペレーティングシステム (OS)。旧称Palm OS。
Wikipedia: チャット,チャット (chat) とは、インターネットを含むコンピュータネットワーク上のデータ通信回線を利用したリアルタイムコミュニケーションのこと。chatは英語での雑談のことであり、ネットワーク上のチャットも雑談同様に会話を楽しむための手段である。
Wikipedia: Domain Name System,Domain Name System（ドメイン・ネーム・システム、DNS）とは、インターネットを使った階層的な分散型データベースシステムである。1983年にInformation Sciences Institute (ISI) のポール・モカペトリスとジョン・ポステルにより開発された。
Wikipedia: IPアドレス,IPアドレス（アイピーアドレス、）とは、IPにおいてパケットを送受信する機器を判別するための番号である。
Wikipedia: User Datagram Protocol,User Datagram Protocol（ユーザ データグラム プロトコル、UDP（ユーディーピー））は、主にインターネットで使用されるインターネット・プロトコル・スイートの中核プロトコルの一つ。
Wikipedia: ソフトウェア,thumb|ソフトウェアの階層図。上から[[ユーザー（人間）、アプリケーション、オペレーティングシステム、ハードウェア。通常はアプリケーションとオペレーティングシステムが「ソフトウェア」である。]]
Wikipedia: ハードウェア,ハードウェア () とは、システムの物理的な構成要素を指す一般用語である。日本語では機械、装置、設備のことを指す。
Wikipedia: OS/2,OS/2（オーエス・ツー）は、MS-DOSおよびPC DOSの後継として、IBMとマイクロソフトとの共同で開発された、パーソナルコンピュータ（パソコン）用の16ビットおよび32ビットのオペレーティングシステム (OS) である。
Wikipedia: DDBJ,DDBJ（日本DNAデータバンク、DNA Data Bank of Japan）は、日本の国立遺伝学研究所（静岡県三島市）が作成しているDNAの塩基配列の配列データベースである。
Wikipedia: IPアドレス枯渇問題,IPアドレス枯渇問題（アイピーアドレスこかつもんだい）とはインターネットの発展に伴い浮上してきた問題で、2019年現在広く使用されているIPv4というプロトコルにおいて、新規に配布するIPv4アドレスがほぼ枯渇している事態を指す。インターネット上のノードはIPアドレスによって一意に区別される。
Wikipedia: 機械語,thumb|機械語モニタの出力表示例。[[逆アセンブラ|逆アセンブルした機械語、プロセッサのレジスタとメモリダンプが表示されている。]]
Wikipedia: Javaアプレット,Javaアプレット（Java Applet）は、ネットワークを通してWebブラウザに読み込まれ実行されるJavaのアプリケーションの一形態。Java 10まではJava Runtime Environmentに搭載されていて、Java 9より非推奨になり、Java 11で廃止Java Client Roadmap Update - An Oracle White Paper March 2018。
Wikipedia: コンピュータ,コンピュータ（）は、数値計算や、数値計算に限らず、情報処理やデータ処理と呼ばれるような作業、すなわち、文書作成・動画編集・遊戯など、複雑な任意の（広義の）計算を高速・大量におこなう計算機械である（呼称については後述）。現代ではプログラム内蔵方式のディジタルコンピュータの中でも、特にパーソナルコンピュータやメインフレーム、スーパーコンピュータなどを含めた汎用的なシステムを指すことが多い。
Wikipedia: 関係データベース,関係データベース（かんけいデータベース、リレーショナルデータベース、英: relational database）は関係モデル（リレーショナルデータモデル、後述）にもとづいて設計、開発されるデータベースである。関係データベースを管理するデータベース管理システム (DBMS) を関係データベース管理システム (RDBMS) と呼ぶ。
Wikipedia: Simple Mail Transfer Protocol,Simple Mail Transfer Protocol（シンプル メール トランスファー プロトコル、SMTP）または簡易メール転送プロトコルは、インターネットで電子メールを転送するプロトコルである。通常 ポート番号 25 を利用する。
Wikipedia: VOS3,VOS3（ボス・スリー、ボス・サン、Virtual-storage Operating System 3）は、日立製作所が製造・販売しているメインフレーム用オペレーティングシステムのこと。
